ticker,name,exchange,sector,industry,currency,listed_date
0001.HK,CK Hutchison Holdings,HKEX,Industrials,Industrial Conglomerates,HKD,
0002.HK,CLP Holdings,HKEX,Utilities,Electric Utilities,HKD,
0003.HK,Hong Kong & China Gas,HKEX,Utilities,Gas Utilities,HKD,
0005.HK,HSBC Holdings,HKEX,Financials,Diversified Banks,HKD,
0006.HK,Power Assets Holdings,HKEX,Utilities,Electric Utilities,HKD,
0011.HK,Hang Seng Bank,HKEX,Financials,Regional Banks,HKD,
0012.HK,Henderson Land Development,HKEX,Real Estate,Real Estate Operating Companies,HKD,
0016.HK,Sun Hung Kai Properties,HKEX,Real Estate,Real Estate Operating Companies,HKD,
0017.HK,New World Development,HKEX,Real Estate,Real Estate Operating Companies,HKD,
0027.HK,Galaxy Entertainment Group,HKEX,Consumer Discretionary,Casinos & Gaming,HKD,
0066.HK,MTR Corporation,HKEX,Industrials,Passenger Ground Transportation,HKD,
0083.HK,Sino Land,HKEX,Real Estate,Real Estate Operating Companies,HKD,
0101.HK,Hang Lung Properties,HKEX,Real Estate,Real Estate Operating Companies,HKD,
0175.HK,Geely Automobile Holdings,HKEX,Consumer Discretionary,Automobile Manufacturers,HKD,
0241.HK,Alibaba Health Information Technology,HKEX,Health Care,Health Care Technology,HKD,
0267.HK,CITIC Limited,HKEX,Industrials,Industrial Conglomerates,HKD,
0288.HK,WH Group,HKEX,Consumer Staples,Packaged Foods & Meats,HKD,
0291.HK,China Resources Beer,HKEX,Consumer Staples,Brewers,HKD,
0386.HK,China Petroleum & Chemical (Sinopec),HKEX,Energy,Integrated Oil & Gas,HKD,
0388.HK,Hong Kong Exchanges and Clearing,HKEX,Financials,Financial Exchanges & Data,HKD,
0688.HK,China Overseas Land & Investment,HKEX,Real Estate,Real Estate Development,HKD,
0700.HK,Tencent Holdings,HKEX,Communication Services,Interactive Media & Services,HKD,
0762.HK,China Unicom (Hong Kong),HKEX,Communication Services,Integrated Telecommunication Services,HKD,
0823.HK,Link REIT,HKEX,Real Estate,Retail REITs,HKD,
0857.HK,PetroChina,HKEX,Energy,Integrated Oil & Gas,HKD,
0883.HK,CNOOC,HKEX,Energy,Oil & Gas Exploration & Production,HKD,
0939.HK,China Construction Bank,HKEX,Financials,Diversified Banks,HKD,
0941.HK,China Mobile,HKEX,Communication Services,Wireless Telecommunication Services,HKD,
0992.HK,Lenovo Group,HKEX,Information Technology,Technology Hardware Storage & Peripherals,HKD,
